,id,samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.easting,samplingPoint.northing,samplingPoint.region,samplingPoint.area,samplingPoint.subArea,samplingPoint.samplingPointStatus,samplingPoint.samplingPointType,phenomenonTime,samplingPurpose,sampleMaterialType,determinand.notation,determinand.prefLabel,result,unit,Date,result_numeric,lon,lat
0,https://environment.data.gov.uk/water-quality/sampling-point/SW-70420116/sample/3399126/observation/6396,SW-70420116,RIVER OTTER AT DOTTON MILL,308730,88570,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-01-14 10:11:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,6396,Turbidity,57,NEPHELOMETRIC TURBIDITY UNITS,2020-01-14,57.0,-3.293450721357024,50.68959580568402
1,https://environment.data.gov.uk/water-quality/sampling-point/SW-70540110/sample/3399619/observation/6396,SW-70540110,RIVER EXE AT TREWS WEIR  EXETER,292546,91506,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-01-22 11:36:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,6396,Turbidity,8.6,NEPHELOMETRIC TURBIDITY UNITS,2020-01-22,8.6,-3.523339040364517,50.71322171537236
2,https://environment.data.gov.uk/water-quality/sampling-point/SW-70540224/sample/3399466/observation/6396,SW-70540224,RIVER EXE AT THORVERTON GAUGING STATION,293608,101640,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-01-20 11:57:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,6396,Turbidity,5.9,NEPHELOMETRIC TURBIDITY UNITS,2020-01-20,5.9,-3.5112347793894534,50.80451671796794
3,https://environment.data.gov.uk/water-quality/sampling-point/SW-70620154/sample/3398585/observation/6396,SW-70620154,RIVER TEIGN AT PRESTON,285580,74543,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-01-09 11:21:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,6396,Turbidity,15,NEPHELOMETRIC TURBIDITY UNITS,2020-01-09,15.0,-3.616723023181938,50.559406974335694
4,https://environment.data.gov.uk/water-quality/sampling-point/SW-70631918/sample/3399044/observation/6396,SW-70631918,KENNICK STREAM AT TOTTIFORD RESERVOIR SURFACE,281060,82710,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-01-10 15:32:00,UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS),POND / LAKE / RESERVOIR WATER,6396,Turbidity,1.7,NEPHELOMETRIC TURBIDITY UNITS,2020-01-10,1.7,-3.68312403330609,50.631916753881946
5,https://environment.data.gov.uk/water-quality/sampling-point/SW-70720104/sample/3398362/observation/6396,SW-70720104,RIVER DART AT TOTNES WEIR,280053,61222,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-01-07 11:32:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,6396,Turbidity,2.3,NEPHELOMETRIC TURBIDITY UNITS,2020-01-07,2.3,-3.690435722001619,50.43855409511494
6,https://environment.data.gov.uk/water-quality/sampling-point/SW-70826005/sample/3399368/observation/6396,SW-70826005,RIVER AVON AT HATCH,271427,47251,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-01-02 12:12:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,6396,Turbidity,5,NEPHELOMETRIC TURBIDITY UNITS,2020-01-02,5.0,-3.8070649306362068,50.31114490989055
7,https://environment.data.gov.uk/water-quality/sampling-point/SW-70920104/sample/3400607/observation/6396,SW-70920104,RIVER ERME AT SEQUER'S BRIDGE,263210,51880,SouthWest,SOUTH WEST - DEVON AND CORNWALL,CENTRAL DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-01-30 12:32:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,6396,Turbidity,7,NEPHELOMETRIC TURBIDITY UNITS,2020-01-30,7.0,-3.924080041261266,50.35090065778005
8,https://environment.data.gov.uk/water-quality/sampling-point/SW-72920121/sample/3399965/observation/6396,SW-72920121,RIVER TORRIDGE AT BEAM BRIDGE,247359,120917,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-01-24 10:13:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,6396,Turbidity,5.8,NEPHELOMETRIC TURBIDITY UNITS,2020-01-24,5.8,-4.175209091958923,50.9673936431822
9,https://environment.data.gov.uk/water-quality/sampling-point/SW-73020127/sample/3399623/observation/6396,SW-73020127,RIVER TAW AT CHAPELTON FOOTBRIDGE,258220,126100,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-01-22 12:57:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,6396,Turbidity,6.7,NEPHELOMETRIC TURBIDITY UNITS,2020-01-22,6.7,-4.0226637948416455,51.016749030650935
10,https://environment.data.gov.uk/water-quality/sampling-point/SW-73030120/sample/3399435/observation/6396,SW-73030120,RIVER TAW AT TAW BRIDGE,267294,106589,SouthWest,SOUTH WEST - DEVON AND CORNWALL,EAST DEVON AND CORNWALL,OPEN,FRESHWATER - RIVERS,2020-01-20 13:38:00,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),RIVER / RUNNING SURFACE WATER,6396,Turbidity,4.3,NEPHELOMETRIC TURBIDITY UNITS,2020-01-20,4.3,-3.8862689240641832,50.843562392879285
